,title,authors,abstract
248,Non-perturbative conserving approximations and Luttinger's sum rule,"Jutta Ortloff, Matthias Balzer, Michael Potthoff",  Weak-coupling conserving approximations can be constructed by truncations of the Luttinger-Ward functional and are well known as thermodynamically consistent approaches which respect macroscopic conservation laws as well as certain sum rules at zero temperature. These properties can also be shown for variational approximations that are generated within the framework of the self-energy-functional theory without a truncation of the diagram series. Luttinger's sum rule represents an exception. We analyze the conditions under which the sum rule holds within a non-perturbative conserving approximation. Numerical examples are given for a simple but non-trivial dynamical two-site approximation. The validity of the sum rule for finite Hubbard clusters and the consequences for cluster extensions of the dynamical mean-field theory are discussed. 
249,2D-MIT as self-doping of a Wigner-Mott insulator,S. Pankov and V. Dobrosavljevic,"  We consider an interaction-driven scenario for the two-dimensional metal-insulator transition in zero magnetic field (2D-MIT), based on melting the Wigner crystal through vacancy-interstitial pair formation. We show that the transition from the Wigner-Mott insulator to a heavy Fermi liquid emerges as an instability to self-doping, resembling conceptually the solid to normal liquid transition in He3. The resulting physical picture naturally explains many puzzling features of the 2D-MIT. "
250,Entanglement of Subspaces and Error Correcting Codes,"Gilad Gour, Nolan R. Wallach","  We introduce the notion of entanglement of subspaces as a measure that quantify the entanglement of bipartite states in a randomly selected subspace. We discuss its properties and in particular we show that for maximally entangled subspaces it is additive. Furthermore, we show that maximally entangled subspaces can play an important role in the study of quantum error correction codes. We discuss both degenerate and non-degenerate codes and show that the subspace spanned by the logical codewords of a non-degenerate code is a 2k-totally (maximally) entangled subspace. As for non-degenerate codes, we provide a mathematical definition in terms of subspaces and, as an example, we analyze Shor's nine qubits code in terms of 22 mutually orthogonal subspaces. "
251,Does the present data on B_s - bar B_s mixing rule out a large   enhancement in the branching ratio of B_s --> mu+ mu- ?,Ashutosh Kumar Alok and S. Uma Sankar,"  In this letter, we consider the constraints imposed by the recent measurement of B_s - bar B_s mixing on the new physics contribution to the rare decay B_s --> mu+ mu-. New physics in the form vector and axial-vector couplings is already severely constrained by the data on B --> (K,K*) mu+ mu-. Here, we show that B_s - bar B_s mixing data, together with the data on K0 - bar K0 mixing and K_L --> mu+ mu- decay rate, strongly constrain the scalar-pseudoscalar contribution to B_s --> mu+ mu-. We conclude that new physics can at best lead to a factor of 2 increase in the branching ratio of B_s --> mu+ mu- compared to its Standard Model expectation. "
252,"The Spitzer c2d Survey of Large, Nearby, Interstellar Clouds VIII.   Serpens Observed with MIPS","Paul M. Harvey, Luisa M. Rebull, Tim Brooke, William J. Spiesman,   Nicholas Chapman, Tracy L. Huard, Neal J. Evans II, Lucas Cieza, Shih-Ping   Lai, Lori E. Allen, Lee G. Mundy, Deborah L. Padgett, Anneila I. Sargent,   Karl R. Stapelfeldt, Philip C. Myers, Ewine F. van Dishoeck, Geoffrey A.   Blake, David W. Koerner","  We present maps of 1.5 square degrees of the Serpens dark cloud at 24, 70, and 160\micron observed with the Spitzer Space Telescope MIPS Camera. More than 2400 compact sources have been extracted at 24um, nearly 100 at 70um, and 4 at 160um. We estimate completeness limits for our 24um survey from Monte Carlo tests with artificial sources inserted into the Spitzer maps. We compare source counts, colors, and magnitudes in the Serpens cloud to two reference data sets, a 0.50 deg^2 set on a low-extinction region near the dark cloud, and a 5.3 deg^2 subset of the SWIRE ELAIS N1 data that was processed through our pipeline. These results show that there is an easily identifiable population of young stellar object candidates in the Serpens Cloud that is not present in either of the reference data sets. We also show a comparison of visual extinction and cool dust emission illustrating a close correlation between the two, and find that the most embedded YSO candidates are located in the areas of highest visual extinction. "
253,Unravelling the sbottom spin at the CERN LHC,Alexandre Alves and Oscar Eboli,"  Establishing that a signal of new physics is undoubtly supersymmetric requires not only the discovery of the supersymmetric partners but also probing their spins and couplings. We show that the sbottom spin can be probed at the CERN Large Hadron Collider using only angular correlations in sbottom pair production with subsequent decay of sbottoms into bottom quark plus the lightest neutralino, which allow us to distinguish a universal extra dimensional interpretation with a fermionic heavy bottom quark from supersymmetry with a bosonic bottom squark. We demonstrate that this channel provides a clear indication of the sbottom spin provided the sbottom production rate and branching ratio into bottom quark plus the lightest neutralino are sufficiently large to have a clear signal above Standard Model backgrounds. "
254,Modeling the three-point correlation function,"Felipe Marin (Chicago, KICP), Risa Wechsler (KIPAC, Stanford), Joshua   Frieman (Chicago, KICP and Fermilab), Robert Nichol (ICG, Portsmouth)","  We present new predictions for the galaxy three-point correlation function (3PCF) using high-resolution dissipationless cosmological simulations of a flat LCDM Universe which resolve galaxy-size halos and subhalos. We create realistic mock galaxy catalogs by assigning luminosities and colors to dark matter halos and subhalos, and we measure the reduced 3PCF as a function of luminosity and color in both real and redshift space. As galaxy luminosity and color are varied, we find small differences in the amplitude and shape dependence of the reduced 3PCF, at a level qualitatively consistent with recent measurements from the SDSS and 2dFGRS. We confirm that discrepancies between previous 3PCF measurements can be explained in part by differences in binning choices. We explore the degree to which a simple local bias model can fit the simulated 3PCF. The agreement between the model predictions and galaxy 3PCF measurements lends further credence to the straightforward association of galaxies with CDM halos and subhalos. "
255,Multi-spectral Observations of Lunar Occultations: I. Resolving The Dust   Shell Around AFGL 5440,Paul M. Harvey and Andrew Oldag,"  We present observations and modeling of a lunar occultation of the dust-enshrouded carbon star AFGL 5440. The observations were made over a continuous range of wavelengths from 1 - 4um with a high-speed spectrophotometer designed expressly for this purpose. We find that the occultation fringes cannot be fit by any single-size model. We use the DUSTY radiative transfer code to model a circumstellar shell and fit both the observed occultation light curves and the spectral energy distribution described in the literature. We find a strong constraint on the inner radius of the dust shell, Tmax = 950 K +/- 50K, and optical depth at 5um of 0.5 +/- 0.1. The observations are best fit by models with a density gradient of r^-2 or the gradient derived by Ivezic & Elitzur for a radiatively driven hydrodynamic outflow. Our models cannot fit the observed IRAS 60um flux without assuming a substantial abundance of graphite or by assuming a substantially higher mass-loss rate in the past. "
256,Orbifold cohomology of abelian symplectic reductions and the case of   weighted projective spaces,Tara S. Holm,"  These notes accompany a lecture about the topology of symplectic (and other) quotients. The aim is two-fold: first to advertise the ease of computation in the symplectic category; and second to give an account of some new computations for weighted projective spaces. We start with a brief exposition of how orbifolds arise in the symplectic category, and discuss the techniques used to understand their topology. We then show how these results can be used to compute the Chen-Ruan orbifold cohomology ring of abelian symplectic reductions. We conclude by comparing the several rings associated to a weighted projective space. We make these computations directly, avoiding any mention of a stacky fan or of a labeled moment polytope. "
257,Correlation functions in the Non Perturbative Renormalization Group and   field expansion,"Diego Guerra, Ramon Mendez-Galain and Nicolas Wschebor","  The usual procedure of including a finite number of vertices in Non Perturbative Renormalization Group equations in order to obtain $n$-point correlation functions at finite momenta is analyzed. This is done by exploiting a general method recently introduced which includes simultaneously all vertices although approximating their momentum dependence. The study is performed using the self-energy of the tridimensional scalar model at criticality. At least in this example, low order truncations miss quantities as the critical exponent $\eta$ by as much as 60%. However, if one goes to high order truncations the procedure seems to converge rapidly. "
258,Formation and Collisional Evolution of Kuiper Belt Objects,"Scott J. Kenyon, Benjamin C. Bromley, David P. O'Brien, Donald R.   Davis","  This chapter summarizes analytic theory and numerical calculations for the formation and collisional evolution of KBOs at 20--150 AU. We describe the main predictions of a baseline self-stirring model and show how dynamical perturbations from a stellar flyby or stirring by a giant planet modify the evolution. Although robust comparisons between observations and theory require better KBO statistics and more comprehensive calculations, the data are broadly consistent with KBO formation in a massive disk followed by substantial collisional grinding and dynamical ejection. However, there are important problems reconciling the results of coagulation and dynamical calculations. Contrasting our current understanding of the evolution of KBOs and asteroids suggests that additional observational constraints, such as the identification of more dynamical families of KBOs (like the 2003 EL61 family), would provide additional information on the relative roles of collisional grinding and dynamical ejection in the Kuiper Belt. The uncertainties also motivate calculations that combine collisional and dynamical evolution, a `unified' calculation that should give us a better picture of KBO formation and evolution. "
259,On Existence of Boundary Values of Polyharmonic Functions,"M. L. Gorbachuk, S. M. Torba",  In trigonometric series terms all polyharmonic functions inside the unit disk are described. For such functions it is proved the existence of their boundary values on the unit circle in the space of hyperfunctions. The necessary and sufficient conditions are presented for the boundary value to belong to certain subspaces of the space of hyperfunctions. 
260,Constraints on the Self-Interaction Cross-Section of Dark Matter from   Numerical Simulations of the Merging Galaxy Cluster 1E 0657-5,"Scott W. Randall, Maxim Markevitch, Douglas Clowe, Anthony H.   Gonzalez, and Marusa Bradac","  (Abridged) We compare recent results from X-ray, strong lensing, weak lensing, and optical observations with numerical simulations of the merging galaxy cluster 1E0657-56. X-ray observations reveal a bullet-like subcluster with a prominent bow shock, while lensing results show that the positions of the total mass peaks are consistent with the centroids of the collisionless galaxies (and inconsistent with the X-ray brightness peaks). Previous studies, based on older observational datasets, have placed upper limits on the self-interaction cross-section of dark matter per unit mass, sigma/m, using simplified analytic techniques. In this work, we take advantage of new, higher-quality observational datasets by running N-body simulations of 1E0657-56 that include the effects of self-interacting dark matter, and comparing the results with observations. Furthermore, the recent data allow for a new independent method of constraining sigma/m, based on the non-observation of an offset between the bullet subcluster mass peak and galaxy centroid. This new method places an upper limit (68% confidence) of sigma/m < 1.25 cm^2/g. If we make the assumption that the subcluster and the main cluster had equal mass-to-light ratios prior to the merger, we derive our most stringent constraint of sigma/m < 0.7 cm^2/g, which comes from the consistency of the subcluster's observed mass-to-light ratio with the main cluster's, and with the universal cluster value, ruling out the possibility of a large fraction of dark matter particles being scattered away due to collisions. Our limit is a slight improvement over the previous result from analytic estimates, and rules out most of the 0.5 - 5cm^2/g range invoked to explain inconsistencies between the standard collisionless cold dark matter model and observations. "
261,Stringy Instantons at Orbifold Singularities,"Riccardo Argurio, Matteo Bertolini, Gabriele Ferretti, Alberto Lerda   and Christoffer Petersson","  We study the effects produced by D-brane instantons on the holomorphic quantities of a D-brane gauge theory at an orbifold singularity. These effects are not limited to reproducing the well known contributions of the gauge theory instantons but also generate extra terms in the superpotential or the prepotential. On these brane instantons there are some neutral fermionic zero-modes in addition to the ones expected from broken supertranslations. They are crucial in correctly reproducing effects which are dual to gauge theory instantons, but they may make some other interesting contributions vanish. We analyze how orientifold projections can remove these zero-modes and thus allow for new superpotential terms. These terms contribute to the dynamics of the effective gauge theory, for instance in the stabilization of runaway directions. "
262,Turbulent Diffusion of Lines and Circulations,Gregory L. Eyink,"  We study material lines and passive vectors in a model of turbulent flow at infinite-Reynolds number, the Kraichnan-Kazantsev ensemble of velocities that are white-noise in time and rough (Hoelder continuous) in space. It is argued that the phenomenon of ``spontaneous stochasticity'' generalizes to material lines and that conservation of circulations generalizes to a ``martingale property'' of the stochastic process of lines. "
263,Gluon Radiation of an Expanding Color Skyrmion in the Quark-Gluon Plasma,Jian Dai,  The density of states and energy spectrum of the gluon radiation are calculated for the color current of an expanding hydrodynamic skyrmion in the quark gluon plasma with a semiclassical method. Results are compared with those in literatures. 
264,REM near-IR and optical multiband observations of PKS2155-304 in 2005,"A. Dolcini, F. Farfanelli, S. Ciprini, A. Treves, S. Covino, G. Tosti,   E. Pian, B. Sbarufatti, E. Molinari, G. Chincarini, F.M. Zerbi, G. Malaspina,   P. Conconi, L. Nicastro, E. Palazzi, V. Testa, F. Vitali, L.A. Antonelli, J.   Danziger, G. Tagliaferri, E. Meurs, S. Vergani, A. Fernandez-Soto, E.   Distefano, G. Cutispoto, F. D'Alessio","  Spectral variability is the main tool for constraining emission models of BL   Lac objects. By means of systematic observations of the BL Lac prototype PKS 2155-304 in the infrared-optical band, we explore variability on the scales of months, days and hours. We made our observations with the robotic 60 cm telescope REM located at La Silla, Chile. VRIJHK filters were used. PKS 2155-304 was observed from May to December 2005. The wavelength interval explored, the total number of photometric points and the short integration time render our photometry substantially superior to previous ones for this source. On the basis of the intensity and colour we distinguish three different states of the source, each of duration of months, which include all those described in the literature. In particular, we report the highest state ever detected in the H band. The source varied by a factor of 4 in this band, much more than in the V band (a factor ~2). The source softened with increasing intensity, contrary to the general pattern observed in the UV-X-ray bands. On five nights of November we had nearly continuous monitoring for 2-3 hours. A variability episode with a time scale of ~24 h is well documented, a much more rapid flare with t=1-2 h, is also apparent, but is supported by relatively few points. "
265,Supernova Polarization and the Type IIn Classification,Jennifer L. Hoffman,"  While the members of the Type IIn category of supernovae are united by the presence of strong multicomponent Balmer emission lines in their spectra, they are quite heterogeneous with respect to other properties such as Balmer line profiles, light curves, strength of radio emission, and intrinsic brightness. We are now beginning to see variety among SNe IIn in their polarimetric characteristics as well, some but not all of which may be due to inclination angle effects. The increasing number of known ""hybrid"" SNe with IIn-like emission lines suggests that circumstellar material may be more common around all types of SNe than previously thought. Investigation of the correlations between spectropolarimetric signatures and other IIn attributes will help us address the question of classification of ""interacting SNe"" and the possibility of distinguishing different groups within the diverse IIn subclass. "
266,"Near-Infrared Spectra of the Black Hole X-Ray Binary, A0620-00","C.S. Froning, E.L. Robinson, and M.A. Bitner","  We present broadband NIR spectra of A0620-00 obtained with SpeX on the IRTF. The spectrum is characterized by a blue continuum on which are superimposed broad emission lines of HI and HeII and a host of narrower absorption lines of neutral metals and molecules. Spectral type standard star spectra scaled to the dereddened spectrum of A0620-00 in K exceed the A0620-00 spectrum in J and H for all stars of spectral type K7V or earlier, demonstrating that the donor star, unless later than K7V, cannot be the sole NIR flux source in A0620-00. In addition, the atomic absorption lines in the K3V spectrum are too weak with respect to those of A0620-00 even at 100% donor star contribution, restricting the spectral type of the donor star in A0620-00 to later than K3V. Comparison of the A0620-00 spectrum to scaled K star spectra indicates that the CO absorption features are significantly weaker in A0620-00 than in field dwarf stars. Fits of scaled model spectra of a Roche lobe-filling donor star to the spectrum of A0620-00 show that the best match to the CO absorption lines is obtained when the C abundance is reduced to [C/H] = -1.5. The donor star contribution in the H waveband is determined to be 82+-2%. Combined with previous published results from Froning & Robinson (2001) and Marsh et al. (1994), this gives a precise mass for the black hole in A0620-00 of M_BH = 9.7+-0.6 M_solar. "
267,Automated Generation of Layout and Control for Quantum Circuits,"Mark Whitney, Nemanja Isailovic, Yatish Patel, John Kubiatowicz","  We present a computer-aided design flow for quantum circuits, complete with automatic layout and control logic extraction. To motivate automated layout for quantum circuits, we investigate grid-based layouts and show a performance variance of four times as we vary grid structure and initial qubit placement. We then propose two polynomial-time design heuristics: a greedy algorithm suitable for small, congestion-free quantum circuits and a dataflow-based analysis approach to placement and routing with implicit initial placement of qubits. Finally, we show that our dataflow-based heuristic generates better layouts than the state-of-the-art automated grid-based layout and scheduling mechanism in terms of latency and potential pipelinability, but at the cost of some area. "
268,Modeling the Spectral Energy Distribution and Variability of 3C 66A   during the WEBT campaign of 2003 -- 2004,M. Joshi and M. Boettcher,"  The BL Lac object 3C 66A was observed in an extensive multiwavelength monitoring campaign from July 2003 till April 2004. The spectral energy distribution (SED) was measured over the entire electromagnetic spectrum, with flux measurements from radio to X-ray frequencies and upper limits in the very high energy (VHE) gamma-ray regime. Here, we use a time-dependent leptonic jet model to reproduce the SED and optical spectral variability observed during our multiwavelength campaign. Our model simulations could successfully reproduce the observed SED and optical light curves and predict an intrinsic cutoff value for the VHE gamma-ray emission at ~ 4 GeV. The effect of the optical depth due to the intergalactic infrared background radiation (IIBR) on the peak of the high-energy component of 3C 66A was found to be negligible. Also, the presence of a broad line region (BLR) in the case of 3C 66A may play an important role in the emission of gamma-ray photons when the emission region is very close to the central engine, but further out, the production mechanism of hard X-ray and gamma-ray photons becomes rapidly dominated by synchrotron self-Compton emission. We further discuss the possibility of an observable X-ray spectral variability pattern. The simulated results do not predict observable hysteresis patterns in the optical or soft X-ray regimes for major flares on multi-day time scales. "
269,The HARPS search for southern extra-solar planets. X. A m sin i = 11   Mearth planet around the nearby spotted M dwarf GJ 674,"X. Bonfils, M. Mayor, X. Delfosse, T. Forveille, M. Gillon, C.   Perrier, S. Udry, F. Bouchy, C. Lovis, F. Pepe, D. Queloz, N. C. Santos and   J.-L. Bertaux","  Context: How planet properties depend on stellar mass is a key diagnostic of planetary formation mechanisms. Aims: This motivates planet searches around stars which are significantly more massive or less massive than the Sun, and in particular our radial velocity search for planets around very-low mass stars. Methods: As part of that program, we obtained measurements of GJ 674, an M2.5 dwarf at d=4.5 pc, which have a dispersion much in excess of their internal errors. An intensive observing campaign demonstrates that the excess dispersion is due to two superimposed coherent signals, with periods of 4.69 and 35 days. Results: These data are well described by a 2-planet Keplerian model where each planet has a ~11 Mearth minimum mass. A careful analysis of the (low level) magnetic activity of GJ 674 however demonstrates that the 35-day period coincides with the stellar rotation period. This signal therefore originates in a spot inhomogeneity modulated by stellar rotation. The 4.69-day signal on the other hand is caused by a bona-fide planet, GJ 674b. Conclusion: Its detection adds to the growing number of Neptune-mass planets around M-dwarfs, and reinforces the emerging conclusion that this mass domain is much more populated than the jovian mass range. We discuss the metallicity distributions of M dwarf with and without planets and find a low 11% probability that they are drawn from the same parent distribution. Moreover, we find tentative evidence that the host star metallicity correlates with the total mass of their planetary system. "
270,An individual based model with global competition interaction:   fluctuations effects in pattern formation,"E. Brigatti, V. Schwammle and Minos A. Neto","  We present some numerical results obtained from a simple individual based model that describes clustering of organisms caused by competition. Our aim is to show how, even when a deterministic description developed for continuum models predicts no pattern formation, an individual based model displays well defined patterns, as a consequence of fluctuations effects caused by the discrete nature of the interacting agents. "
271,A Comparison between Anomalous 6-cm H$_2$CO Absorption and CO(1-0)   Emission in the L1204/S140,"Monica Ivette Rodriguez, Tommy Wiklind, Ronald J. Allen, Vladimir   Escalante, and Laurent Loinard","  We report observations of the dust cloud L1204 with the Onsala 25-m telescope in the 6 cm (1$_{11}-1_{10}$) transition of \htco. The observed region includes the   S140 H${\alpha}$ arc. This spectral line is seen here in absorption against the cosmic microwave background, indicating the presence of widespread warm molecular gas at intermediate densities. Overall, the distributions of H$_2$CO and CO (taken from the literature) are fairly similar, though significant differences exist at small scales. Most notably, while the CO peak is nearly coincident with the S140 H${\alpha}$ arc, the maximum H$_2$CO absorption is clearly separated from it by a full 10$'$ beam ($\sim$ 3 pc). We argue that these differences result from differing abundances and excitation requirements. The CO(1-0) line is more optically thick and more biased towards warm gas than the H$_2$CO 6 cm line. On the other hand, formaldehyde is more easily photodissociated and is, therefore, a poorer tracer of the molecular gas located immediately behind Photon Dominated Regions. "
272,Dimers on surface graphs and spin structures. II,"David Cimasoni, Nicolai Reshetikhin","  In a previous paper, we showed how certain orientations of the edges of a graph G embedded in a closed oriented surface S can be understood as discrete spin structures on S. We then used this correspondence to give a geometric proof of the Pfaffian formula for the partition function of the dimer model on G. In the present article, we generalize these results to the case of compact oriented surfaces with boundary. We also show how the operations of cutting and gluing act on discrete spin structures and how they change the partition function. These operations allow to reformulate the dimer model as a quantum field theory on surface graphs. "
273,"New version announcement for TaylUR, an arbitrary-order diagonal   automatic differentiation package for Fortran 95",Georg M. von Hippel,"  We present a new version of TaylUR, a Fortran 95 module to automatically compute the numerical values of a complex-valued function's derivatives with respect to several variables up to an arbitrary order in each variable, but excluding mixed derivatives. The new version fixes a potentially serious bug in the code for exponential-related functions that could corrupt the imaginary parts of derivatives, as well as being compatible with a wider range of compilers. "
274,Mapping radii of metric spaces,George M. Bergman (U.C.Berkeley),"  It is known that every closed curve of length \leq 4 in R^n (n>0) can be surrounded by a sphere of radius 1, and that this is the best bound. Letting S denote the circle of circumference 4, with the arc-length metric, we here express this fact by saying that the ""mapping radius"" of S in R^n is 1.   Tools are developed for estimating the mapping radius of a metric space X in a metric space Y. In particular, it is shown that for X a bounded metric space, the supremum of the mapping radii of X in all convex subsets of normed metric spaces is equal to the infimum of the sup norms of all convex linear combinations of the functions d(x,-): X --> R (x\in X).   Several explicit mapping radii are calculated, and open questions noted. "
275,A New Model For The Loop-I (The North Polar Spur) Region,M. Wolleben,"  The North Polar Spur (NPS) is the brightest filament of Loop I, a large circular feature in the radio continuum sky. In this paper, a model consisting of two synchrotron emitting shells is presented that reproduces large-scale structures revealed by recent polarization surveys. The polarized emission of the NPS is reproduced by one of these shells. The other shell, which passes close to the Sun, gives rise to polarized emission towards the Galactic poles. It is proposed that X-ray emission seen towards the NPS is produced by interaction of the two shells. Two OB-associations coincide with the centers of the shells. A formation scenario of the Loop I region is suggested. "
276,Leray numbers of projections and a topological Helly type theorem,Gil Kalai and Roy Meshulam,"  Let X be a simplicial complex on the vertex set V. The rational Leray number L(X) of X is the minimal d such that the rational reduced homology of any induced subcomplex of X vanishes in dimensions d and above. Let \pi be a simplicial map from X to a simplex Y, such that the cardinality of the preimage of any point in |Y| is at most r. It is shown that L(\pi(X)) \leq r L(X)+r-1. One consequence is a topological extension of a Helly type result of Amenta. "
277,q-Deformed spin foam models of quantum gravity,"Igor Khavkine, J. Daniel Christensen","  We numerically study Barrett-Crane models of Riemannian quantum gravity. We have extended the existing numerical techniques to handle q-deformed models and arbitrary space-time triangulations. We present and interpret expectation values of a few selected observables for each model, including a spin-spin correlation function which gives insight into the behaviour of the models. We find the surprising result that, as the deformation parameter q goes to 1 through roots of unity, the limit is discontinuous. "
278,HI velocity dispersion in NGC 1058,A. O. Petric and M. P. Rupen,"  We present excellent resolution and high sensitivity Very Large Array (VLA) observations of the 21cm HI line emission from the face-on galaxy NGC 1058, providing the first reliable study of the HI profile shapes throughout the entire disk of an external galaxy. Our observations show an intriguing picture of the interstellar medium; throughout this galaxy velocity-- dispersions range between 4 to 15 km/sec but are not correlated with star formation, stars or the gaseous spiral arms. The velocity dispersions decrease with radius, but this global trend has a large scatter as there are several isolated, resolved regions of high dispersion. The decline of star light with radius is much steeper than that of the velocity dispersions or that of the energy in the gas motions. "
279,Common Envelope Evolution Redux,Ronald F. Webbink (University of Illinois at Urbana-Champaign),"  Common envelopes form in dynamical time scale mass exchange, when the envelope of a donor star engulfs a much denser companion, and the core of the donor plus the dense companion star spiral inward through this dissipative envelope. As conceived by Paczynski and Ostriker, this process must be responsible for the creation of short-period binaries with degenerate components, and, indeed, it has proven capable of accounting for short-period binaries containing one white dwarf component. However, attempts to reconstruct the evolutionary histories of close double white dwarfs have proven more problematic, and point to the need for enhanced systemic mass loss, either during the close of the first, slow episode of mass transfer that produced the first white dwarf, or during the detached phase preceding the final, common envelope episode. The survival of long-period interacting binaries with massive white dwarfs, such as the recurrent novae T CrB and RS Oph, also presents interpretative difficulties for simple energetic treatments of common envelope evolution. Their existence implies that major terms are missing from usual formulations of the energy budget for common envelope evolution. The most plausible missing energy term is the energy released by recombination in the common envelope, and, indeed, a simple reformulation the energy budget explicitly including recombination resolves this issue. "
280,The Source of Turbulence in Astrophysical Disks: An Ill-posed Problem.,Denis Richard,  An critical overview of the current state of research in turbulence in astrophysical disks. 
281,On Punctured Pragmatic Space-Time Codes in Block Fading Channel,"Samuele Bandi, Luca Stabellini, Andrea Conti and Velio Tralli",  This paper considers the use of punctured convolutional codes to obtain pragmatic space-time trellis codes over block-fading channel. We show that good performance can be achieved even when puncturation is adopted and that we can still employ the same Viterbi decoder of the convolutional mother code by using approximated metrics without increasing the complexity of the decoding operations. 
282,On the Markov trace for Temperley--Lieb algebras of type $E_n$,R.M. Green,"  We show that there is a unique Markov trace on the tower of Temperley--Lieb type quotients of Hecke algebras of Coxeter type $E_n$ (for all $n \geq 6$). We explain in detail how this trace may be computed easily using tom Dieck's calculus of diagrams. As applications, we show how to use the trace to show that the diagram representation is faithful, and to compute leading coefficients of certain Kazhdan--Lusztig polynomials. "
283,Second Order Perturbative Calculation of Quasinormal Modes of   Schwarzschild Black Holes,Hsien-chung Kao,  We analytically calculate to second order the correction to the asymptotic form of quasinormal frequencies of four dimensional Schwarzschild black holes based on the monodromy analysis proposed by Motl and Neitzke. Our results are in good agreement with those obtained from numerical calculation. 
284,Epitaxial graphene,"Walt A. de Heer, Claire Berger, Xiaosong Wu, Phillip N. First, Edward   H. Conrad, Xuebin Li, Tianbo Li, Michael Sprinkle, Joanna Hass, Marcin L.   Sadowski, Marek Potemski, Gerard Martinez","  Graphene multilayers are grown epitaxially on single crystal silicon carbide. This system is composed of several graphene layers of which the first layer is electron doped due to the built-in electric field and the other layers are essentially undoped. Unlike graphite the charge carriers show Dirac particle properties (i.e. an anomalous Berry's phase, weak anti-localization and square root field dependence of the Landau level energies). Epitaxial graphene shows quasi-ballistic transport and long coherence lengths; properties which may persists above cryogenic temperatures. Paradoxically, in contrast to exfoliated graphene, the quantum Hall effect is not observed in high mobility epitaxial graphene. It appears that the effect is suppressed due to absence of localized states in the bulk of the material.Epitaxial graphene can be patterned using standard lithography methods and characterized using a wide array of techniques. These favorable features indicate that interconnected room temperature ballistic devices may be feasible for low dissipation high-speed nanoelectronics. "
285,Mathematics of thermoacoustic tomography,Peter Kuchment and Leonid Kunyansky,"  The paper presents a survey of mathematical problems, techniques, and challenges arising in the Thermoacoustic and Photoacoustic Tomography. "
286,Search for Very High Energy Emission from Gamma-Ray Bursts using Milagro,Pablo M. Saz Parkinson (Milagro Collaboration),"  Gamma-Ray Bursts (GRBs) have been detected at GeV energies by EGRET and models predict emission at > 100 GeV. Milagro is a wide field (2 sr) high duty cycle (> 90 %) ground based water Cherenkov detector that records extensive air showers in the energy range 100 GeV to 100 TeV. We have searched for very high energy emission from a sample of 106 gamma-ray bursts (GRB) detected since the beginning of 2000 by BATSE, BeppoSax, HETE-2, INTEGRAL, Swift or the IPN. No evidence for emission from any of the bursts has been found and we present upper limits from these bursts. "
287,Specific heat and bimodality in canonical and grand canonical versions   of the thermodynamic model,"G. Chaudhuri, S. Das Gupta","  We address two issues in the thermodynamic model for nuclear disassembly. Surprisingly large differences in results for specific heat were seen in predictions from the canonical and grand canonical ensembles when the nuclear system passes from liquid-gas co-existence to the pure gas phase. We are able to pinpoint and understand the reasons for such and other discrepancies when they appear. There is a subtle but important difference in the physics addressed in the two models. In particular if we reformulate the parameters in the canonical model to better approximate the physics addressed in the grand canonical model, calculations for observables converge. Next we turn to the issue of bimodality in the probability distribution of the largest fragment in both canonical and grand canonical ensembles. We demonstrate that this distribution is very closely related to average multiplicities. The relationship of the bimodal distribution to phase transition is discussed. "
288,Vortex proliferation in the Berezinskii-Kosterlitz-Thouless regime on a   two-dimensional lattice of Bose-Einstein condensates,"V. Schweikhard, S. Tung, and E. A. Cornell","  We observe the proliferation of vortices in the Berezinskii-Kosterlitz-Thouless regime on a two-dimensional array of Josephson-coupled Bose-Einstein condensates. As long as the Josephson (tunneling) energy J exceeds the thermal energy T, the array is vortex-free. With decreasing J/T, vortices appear in the system in ever greater numbers. We confirm thermal activation as the vortex formation mechanism and obtain information on the size of bound vortex pairs as J/T is varied. "
289,The core binary fractions of star clusters from realistic simulations,"Jarrod R. Hurley, Sverre J. Aarseth, Michael M. Shara","  We investigate the evolution of binary fractions in star clusters using N-body models of up to 100000 stars. Primordial binary frequencies in these models range from 5% to 50%. Simulations are performed with the NBODY4 code and include a full mass spectrum of stars, stellar evolution, binary evolution and the tidal field of the Galaxy. We find that the overall binary fraction of a cluster almost always remains close to the primordial value, except at late times when a cluster is near dissolution. A critical exception occurs in the central regions where we observe a marked increase in binary fraction with time -- a simulation starting with 100000 stars and 5% binaries reached a core binary frequency as high as 40% at the end of the core-collapse phase (occurring at 16 Gyr with ~20000 stars remaining). Binaries are destroyed in the core by a variety of processes as a cluster evolves, but the combination of mass-segregation and creation of new binaries in exchange interactions produces the observed increase in relative number. We also find that binaries are cycled into and out of cluster cores in a manner that is analogous to convection in stars. For models of 100000 stars we show that the evolution of the core-radius up to the end of the initial phase of core-collapse is not affected by the exact value of the primordial binary frequency (for frequencies of 10% or less). We discuss the ramifications of our results for the likely primordial binary content of globular clusters. "
